标题,时间,内容
五个一百，点点星火汇聚中国发展正能量,2023年04月15日07:57,波澜壮阔的时代值得记录，团结奋进的征程值得点赞。由中央网信办主办的2022中国正能量“五个一百”网络精品征集评选展播活动正在火热进行中。“五个一百”评选活动持续举办了7年，越来越受到社会各界的广泛关注，成为共建网上美好精神家园的重要载体。“五个一百”讴歌伟大时代。2022年是梦想接连实现的一年。全国粮食产量实现“十九连丰”，中国人的饭碗端得更牢了；北京冬奥会、冬残奥会取得圆满成功，赢得了全世界的高度赞誉；中国空间站“T”字基本构型组装建造完成，我们逐梦寰宇、太空安家；福建舰是我国完全自主设计建造的首艘弹射型航母，中国海军进入三航母时代……这一年，我们的“奥运梦”“航天梦”“航母梦”由蓝图变为现实。这些成就的取得，凝结着无数人的辛勤付出和汗水。我们每个人都是壮阔征途的见证者、参与者、书写者。“五个一百”树立中国榜样。平凡铸就伟大，英雄来自人民。“我是第一吗？”“四朝元老”徐梦桃，无悔追梦、为国争光，她的励志故事让国人动容；莫看女娃年纪小，敢卖婚房种新田，杨宁从一名大学生变成了村民的主心骨，关爱乡村，回报家乡，把美好青春献给家乡、献给父老乡亲……一个个敢于超越、勇于超越的身影，始终在为梦想执着奋斗。他们以凡人之力在平凡的岗位上创造出一个个不平凡的业绩，生动呈现了中华儿女蓬勃昂扬的时代风貌。“五个一百”激励着更多的追梦人。梦想属于每一个人。我们都是追梦人，在前进的道路上努力奔跑。说到底，实现中华民族伟大复兴的中国梦，要靠各行各业人们的辛勤劳动。每个人都有着自己的担当，以自己的方式承担着时代赋予的责任。通过“五个一百”将身边正能量的故事诉说出来，将正能量精神传递开来，引导人们向上、向善，激发出我们奋斗创造幸福生活的澎湃动能。激荡指尖，凝聚团结奋斗力量，汇聚同心信心。透过“五个一百”我们看到的是一个有温度的中国，一个中华儿女同舟共济、众志成城的中国，一个汇聚奋进新征程的强大中国。
强化执法司法协同 共护国家水安全,2023年04月14日15:17,在近日召开的首届服务保障黄河国家战略检察论坛上，最高检和水利部联合发布一批检察监督与水行政执法协同保护黄河水安全典型案例，涉及黄河流域9省区。典型案例聚焦防洪安全、水资源保护、滩区治理、水生态修复、水土保持等黄河水安全领域问题，依法严惩非法采砂等严重危害黄河流域生态及河势稳定的行为，形成法治震慑，为流域生态保护和高质量发展提供法治保障。水是生命之源、生存之本、生态之基。水安全是涉及国家长治久安的大事。党的十八大以来，党中央着眼于生态文明建设全局，明确了“节水优先、空间均衡、系统治理、两手发力”的治水思路，开创了治水兴水新局面。提升治水兴水效能和更好维护国家水安全，需要法治提供保障和支撑。从长江保护法和黄河保护法先后实施，对长江流域和黄河流域的水资源管理、水生态保护、河湖管控、控制性工程统一调度作出重要制度安排，到地下水管理条例颁布实施，聚焦地下水超采、污染两大突出问题，对地下水保护治理作出全面规定……目前，我国已经初步形成由5件法律、19件行政法规、55件部门规章、逾千件地方性法规规章组成的水法规体系，各项水事活动基本实现有法可依。法律的生命力在于实施，法律的权威也在于实施。针对现实中一些地方依然存在妨碍行洪，非法取水，侵占河湖、堤防、水库库容，人为造成水土流失等违法行为，需要在完善水法规体系的同时，持续加强水行政执法体系建设，不断健全水行政执法跨区域联动、跨部门联合、行刑衔接等机制，进一步提升水行政执法水平。同时，水灾害、水资源、水生态、水环境等新老水问题与公共利益密切相关，其治理管理工作具有很强的公益性特征。因此，在涉水领域开展检察公益诉讼既有法理基础，又有实践需要，也是强化执法司法协同的重要抓手。值得注意的是，从履职的顺位上看，水行政执法是第一位的，承担的责任是主体责任。而检察公益诉讼是督促之诉，重在观察、职在督促。既要秉持“司法不越位，监督不缺位”的司法导向，也要坚持“诉前实现保护公益目的是最佳司法状态”的监督理念，充分发挥诉前磋商、检察建议等程序优势，能够磋商解决的就不用发检察建议，能够发检察建议解决的就不用提起诉讼，促进行政机关自我纠错、依法行政。本次发布的典型案例中，其中有8件行政公益诉讼典型案例均是在诉前推动问题解决。绿水青山就是金山银山。“绿水”不仅关系到我们家园的美丽安宁，也关系到中华文明的生生不息、永续发展。护航绿水长流，既要充分发挥水行政执法在水资源保护中的作用，也要充分发挥检察公益诉讼的监督、支持和法治保障作用，加强取水许可审批管理与水行政执法的衔接，水行政执法与检察公益诉讼协作，开展问题专项整治，健全管理长效机制，形成执法与司法协同联动“1+1＞2”的治理效果，共护国家水安全，共治优质水环境。
优化学科，既要“减法”更要做好“加法”,2023年04月14日08:37,近日，教育部等五部门印发了《普通高等教育学科专业设置调整优化改革方案》（以下简称《改革方案》），涉及优化调整高校学科专业、高校撤销专业条件等多方面内容，引起社会关注。《改革方案》提出，到2025年，优化调整高校20%左右学科专业布点，淘汰不适应经济社会发展的学科专业。比如：在2015到2021年这7年时间里，共有90所大学撤销了公共事业管理专业。从专业设置来看，公共事业管理堪称集“管理”大成者：教育管理、体育管理、文化艺术事业管理、卫生事业管理、公共管理、应急管理……涉及公共管理的方方面面，都可以尽纳其中。但在实际操作中，某些跟风而上的高校则将此搞成了“大杂烩”，看似包罗万象，实则毫无章法。无序的课程设置，很快就体现在人才市场上：“样样精通，样样稀松”的公共事业管理专业毕业生，毫无任何优势可言。在这样的背景下，高校竞相撤销公共事业管理专业，未尝不是一种在市场倒逼之下的纠偏。实际上，这也正是学科专业结构调整的大势所趋。《改革方案》明确要求，加强学科专业存量调整，完善退出机制。学科专业的设置，需要根据国家发展战略和经济社会趋势进行优化，在此过程中，不适应经济社会发展的学科专业必然会退出历史舞台。值得引起注意的是，在加强“存量调整”的同时，如何科学调配“增量”——无论从保障学生利益还是从满足人才需求的角度出发，都应该尽量避免高校盲目追逐热门专业。据教育部高等教育司负责人介绍，目前全国普通高校本科专业布点总数6.6万个，较2012年新增1.7万个、撤销和停招了近1万个专业点，每年调整幅度将近5%。由此不难看出，尽管不少学科专业被撤销和停招，但学科专业的总数依然保持着增长势头。新技术、新产业、新业态、新模式层出不穷，《改革方案》明确对设置相关学科专业表示支持。问题的关键在于，高校是否具备相应的办学条件，热门专业是否符合高校的办学定位？要想避免高校在设置学科专业时贪大求全、一哄而上，教育主管部门有必要建立完善的专业设置调整干预机制，在充分考虑办学定位、学科基础、社会需求的基础上，规范学科专业的设置。除此之外，不妨引入权威第三方评价机构，对设置学科专业的可行性以及课程质量进行评估，避免一哄而上之后一哄而散。值得一提的是，调整学科专业未必一定紧盯热门领域，追逐热门专业，而是要坚持服务国家发展、突出优势特色等原则。《改革方案》强调，要建强数理化生等基础理科学科专业，适度扩大天文学等紧缺理科学科专业布局。同时，还要主动适应产业发展趋势，主动服务制造强国战略，围绕“新的工科专业，工科专业的新要求，交叉融合再出新”，深化新工科建设，加快学科专业结构调整。在不适应经济社会发展的学科专业上做“减法”，在满足社会需求、产业需求的基础学科上做“加法”，不断优化学科专业，就能以高等教育高质量发展，持续赋能经济社会高质量发展。
科学佩戴口罩，确保公共健康,2023年04月13日19:02,明确应佩戴口罩的情形或场景，提出建议佩戴头罩的情形或场景，列明可不佩戴口罩的常见情形或场景……日前，国务院联防联控机制疫情防控组制定了《预防新型冠状病毒感染公众佩戴口罩指引（2023年4月版）》（以下简称“指引”），分类规定、具体实用，对指导公众科学佩戴口罩具有示范意义。科学戴口罩，对于新冠病毒、流感等传染病具有预防作用，既保护自己，又有益于公众健康。这几年，受疫情影响，在特定场合佩戴口罩，成为人们的自觉，在很大程度上起到了隔离病菌、守护健康的作用。可以说，从健康预防、自我管理的角度看，戴好口罩、科学地佩戴口罩，不仅有其必要性，而且对防范特定疾病发生及传播具有良好效果。伴随天气转暖，随着疫情防控形势的变化，戴与不戴口罩成为不少人关心的话题。指引正是根据《关于对新型冠状病毒感染实施“乙类乙管”的总体方案》《新型冠状病毒感染防控方案（第十版）》的要求而制定的，其中明确规定的“应佩戴”“建议佩戴”和“可不佩戴”的情形或场景，在一定程度上回答了公众关切。这意味着，根据所处环境、所在场合、所事工作等特点和要求，不同人群可以进行分类选择佩戴口罩的方式。值得注意的是，无论选择何种口罩佩戴方式，其前提都应把健康安全放在第一位，确保自身健康与他人健康。其实，这不是第一份关于佩戴口罩的指引。从2020年至今，围绕公众科学戴口罩发布的相关指引，已有多份，相关指引还突出了重点职业人群。这些指引各有侧重、各具指向，是随着科学防疫、精准防疫的形势变化而进行的动态优化调整。一份科学详细、动态优化的指引，既体现了个人防护与疫情防控的精准性，又符合不同阶段的实际需要。这也说明，正如口罩的佩戴一样，只要因时因势调整、分级分类优化，充分展现科学精神，就能在确保防疫安全前提下，有力推动生产生活秩序全面有序恢复。佩不佩戴口罩、如何佩戴口罩，是指引中的规范问题，更是关乎全民的健康问题。小小的口罩，一头连着个人健康，一头连着公共健康。从这个意义上说，我们需要关注两个问题：一是，当好自己健康第一责任人，如何讲科学；二是，守好自己健康的最后防线，如何更牢固。只有站在自身健康和公共健康的角度来全面、理性地看待科学佩戴口罩问题，才能从实际出发作出正确选择。从更广泛意义上说，戴口罩、勤洗手、多通风、勤锻炼等一系列关乎健康的行为习惯和生活方式，都是值得时时倡导、多多践行的，该保持的要继续保持，该优化的要科学优化。毕竟，这些都是防病的好办法，也是筑牢疾病预防防线的好方法。预防是最经济最有效的健康策略。以新版的公众佩戴口罩指引为契机，继续积极做好自身防护，同时把各项有益于健康的工作做好做精做实做细，大家同心参与、同向协作，我们必定能保障公共卫生安全，实现健康和经济社会良性协调发展。
治理社保“挂靠代缴”需下绣花功夫,2023年04月13日18:59,暂时没工作，花钱找个公司“代缴”社保，以防断缴；没有当地户籍，为了买车买房、孩子上学等，在网上找人“挂靠”一番……这样的做法，将越来越行不通了。据媒体报道，社保“挂靠”代缴已被确认属于违法行为。但现实中，仍有一些机构为没有劳动关系的个人提供社保挂靠代缴服务，并以此牟利。多地人社部门提醒，通过“代缴”“挂靠”等手段参保补缴本身就是违法违规行为，还会面临个人财产被骗受损、个人信息泄露、影响个人征信等多重风险。社保是社会稳定器，具有维护实现社会公平公正、促进经济社会健康协调发展的重要功能。过去一段时间内，出于种种原因，“挂靠代缴”社保的生意，在网上网下活跃着。相关个人、企业和平台，各取所需，各谋其利。然而，一个明明没有上班，与企业不存在劳动关系的人，却可以花一笔钱让某公司买社保、办退休等等。这都是不合法合规的操作。正因为如此，近几年多地开展了多轮次针对“挂靠代缴”社保的专项集中整治行动。行动中，也查处了一批涉嫌虚构劳动关系、虚构社会保险参保条件的案件，有些骗保者甚至被判刑。2022年3月18日起施行的《社会保险基金行政监督办法》中明确提出，对用人单位、个人以欺诈、伪造证明材料或者其他手段骗取社会保险待遇的，将按照有关法律规定进行惩处。这是更明确清晰的一个信号。堵住社保参保的漏洞，是涵养社会诚实守信、避免社会保险基金流失，维护社会公平的必要之举。然而也要看到，“挂靠代缴”社保需求旺盛的背后，历史的成因、现实的权衡都比较复杂。有时候，个体选择“挂靠代缴”更是出于一份安全兜底。从现实来看，当前我国不同地方的社保参保条件、参保政策、社保待遇等有所差距。不少人群在参保时都面临一定困难。而在流动社会的大背景下，发达地区尤其是经济发达城市，对于外来人群的买房买车、子女入学等事宜，往往设有需符合当地社保缴费政策的要求。加之个体的信息获取能力差异等因素，一些人和企业便选择了“挂靠代缴”。从这个意义来说，打击违法违规的社保“挂靠代缴”，只是第一步。接下来，更应针对具体现实，堵疏结合，以精细化手段和服务水平，综合施策，治理此问题。一方面，针对那些涉嫌伪造材料、虚构关系、伪造记录的“骗社保”的企业和个人，要加大执法打击。专项行动和常态化监管相结合，及时拦住违法违规的参保行为。另一方面，还要进一步完善社保相关制度，为个人和企业，尤其是庞大的灵活就业群体，找到参保权益的“最大公约数”。此外，还要利用新技术、新平台加大宣传科普，提升服务水平，既向社会群体讲明白当地参保社保具体有哪些途径，又要进一步便利参保流程。综合施策，逐步压缩“挂靠代缴”土壤。社保是典型的社会公共服务的体现。“挂靠代缴”涉嫌违法，不能长久，持续打击是必然之义。但更重要的，是以精细化手段推进综合治理，提升社保的成色与服务，维护好社会公平公正，为广大人民群众构筑起更可靠更充分的保障。
中老铁路，一轨相通、并肩同行,2023年04月13日11:28,4月11日，在老挝万象站售票厅，中老铁路老挝段第一张国际旅客列车车票诞生。4月13日，中老铁路从昆明南、万象站双向对开国际旅客列车，昆明至万象间可实现乘火车当日通达。这将继续给中老两国的企业和民众带来实实在在的机遇红利，为沿线经济社会发展注入强劲动力。中老铁路是高质量共建“一带一路”的标志性工程。犹记得2021年12月3日，随着“发车”的指令下达，中方客运列车C3次在昆明站1道、老方客运列车C82次在万象站1道同时发车，中老铁路顺利通车。这条铁路北起中国云南昆明，南至老挝首都万象，是第一条采用中国标准、中老合作建设运营，并与中国铁路网直接连通的境外铁路，全长1035公里。铁路一通，昆明到万象从此山不再高、路不再长。相信，随着国际旅客列车双向对开，继续把铁路维护好、运营好，把沿线开发好、建设好，打造这条黄金线路，必定能造福两国民众。这条黄金线路，增强了互联互通能力。自中老铁路开通以来，货畅其流、人享其行，“黄金大通道”的效益日渐凸显。数据为证：截至2023年4月9日，中老铁路累计发送旅客超1393万人次、货物超1838万吨。正是互联互通，让各类进口的新鲜水果能快速运到昆明，并销售至全国各地；正是互联互通，云南的旅游经济持续升温走高，乘坐火车出行观光成为不少人的首选。可以说，货物卖得好、人员流动畅，借由一条铁路实现的互联互通，正在让沿线人们品尝着发展的“甜头”，而且会越来越甜。这条黄金线路，提升了民心相通水平。互联互通的根基在心心相通。一条铁路，是两国、多地联结的“桥梁”，更是群众心意相通的“纽带”。老挝一位歌手创作了名为《腾飞于中老铁路》的歌曲，其中有句歌词写道：“如一家人般相亲相爱，老中铁路一轨相通”。借由铁路畅通带来的人员交往、民心相连，让人们越走动越亲切、越往来越紧密。实践充分证明，只有千方百计铺设民心相通的“铁轨”、奏响民心相通的“乐章”，才能为两国间开展更深入的合作打下广泛社会基础。这条黄金线路，激发了开放繁荣活力。中老铁路跨越山河，为沿线地区及辐射区域带来无限机遇。这种机遇，体现在为区域产业链供应链不断延长、多方经贸合作不断深化、外向型经济渠道不断拓宽，等等。应该说，繁忙货运和客运，在区域间形成一条充满活力的“大动脉”，助推了大贸易、激活了大产业、赋能了大开放。近年来，中国以高标准、可持续、惠民生为目标，不断提升共建“一带一路”水平，实现了共建国家的互利共赢，为世界经济发展开辟了新空间。中国以实际行动证明，中国开放的大门只会越开越大，和平发展、合作共赢才是人间正道。中老铁路，互利两国，与世界同频共振。新时代新征程，搭乘“复兴号”“澜沧号”动车组，在这条发展路、幸福路、友谊路上往来流动，经贸互通、发展互助、文化互鉴的活力必定越来越充沛，沿线群众的生活必定会越来越美好。
“接地气”的调研缘何引发关注？,2023年04月13日11:20,调查研究是基本功，也是传家宝。一段时间以来，多地省委书记暗访市场商户、突击检查事故现场，以“四不两直”（即不发通知、不打招呼、不听汇报、不用陪同接待，直奔基层、直插现场）等方式开展调查研究，了解实际情况，推动开展工作。坚持一切从实际出发，是想问题、作决策、办事情的出发点和落脚点。衡量调查研究搞得好不好，不是看规模有多大、时间有多长，也不是看报告多么周正、总结多么深刻，关键要看调查研究的实效，有没有听到真话、察到真情，有没有真研究问题、研究真问题。只有亲口去尝一尝，才能知道梨子的味道；只有亲眼看一看、亲耳听一听，才能了解事物的真相。搞清了老百姓的所思、所想、所盼，发现了问题的痛点、难点、堵点，也就有了啃掉“硬骨头”的好思路、好经验、好做法。那么，为何最近领导干部深入一线调研会引发不小关注？一个很重要的原因，就在于调研接地气、有人气。在胡同美食街档口，了解卫生管理、食品安全；在饭馆、汽修店、汽配城，检查灭火器配备、厨房煤气罐摆放；在旅游景点，察看城市风貌、消费业态……不难发现，相比极少数领导干部坐在车上转、隔着玻璃看，只看“门面”和“窗口”，不看“后院”和“角落”的做法，多地领导干部发扬求真务实的作风，放下架子、扑下身子、迈开步子，更受群众欢迎。更值得一提的是，在多地省委书记大兴调查研究之风的行动中，牛仔裤和运动鞋不经意间“上了热搜”“抢了风头”。不是前呼后拥，更不是八面威风；没有哗众取宠，更没有走马观花。这充分说明，人们深恶痛绝的，是“漫无目的走一趟，稀里糊涂看一下，浑浑噩噩听一通，随随便便讲一下”的调研；大家喜闻乐见的，是那些有一是一、有二是二，既报喜又报忧，不唯上、不唯书、只唯实的调研。既要“身入”，也要“心至”，近的远的都要去，好的差的都要看，表扬和批评都要听，才能换来群众心里话、得到民生全景图。“取真经”，千万要不得“假把式”。当前，我国发展正处在新的历史方位、站上了新的历史起点。国内改革发展稳定面临不少深层次矛盾躲不开、绕不过，各种风险挑战、困难问题比以往更加严峻复杂。无论是把各项工作做好做实，还是找到破解难题的办法和路径，都需要广泛深入开展调查研究，都必须转变工作作风、密切联系群众、提高履职本领、强化责任担当。在贯彻落实党的二十大精神的开局之年，调查研究可谓开了个好头。干实事、谋实招、求实效。在全党大兴调查研究之际，不妨让接地气的调研再多一些、再实一些、再真一些，去了解更多实际，去解决更多问题。
千万大学生唱响创新创业的青春之歌,2023年04月12日09:03,4月9日，第八届中国国际“互联网+”大学生创新创业大赛冠军争夺赛在重庆大学举行。本届大赛共有来自国内外111个国家和地区、4554所院校的340万个项目、1450万名学生报名参赛，参赛人数首次突破千万。科技是第一生产力、人才是第一资源、创新是第一动力。中国国际“互联网+”大学生创新创业大赛旨在推动高等教育人才培养模式变革，激发广大青年学子的创造热情，为“大众创业、万众创新”提供有力支撑。大赛创办8年来，促进了产学研结合，推动着创新成果转化落地，助力形成新业态新动能，服务经济社会高质量发展。勤学创新要志存高远，奋进创业要脚踏实地。2017年8月15日，习近平总书记给参加第三届中国“互联网+”大学生创新创业大赛“青年红色筑梦之旅”的大学生回信，勉励青年学子扎根中国大地了解国情民情，在创新创业中增长智慧才干，在艰苦奋斗中锤炼意志品质。深受鼓舞的青年学子走进革命老区、贫困地区、城乡社区，发挥所学知识、积极创新实践、对接基层需求。井冈山大学项目团队打造“生态农业+旅游”产业模式，助力江西省莲花县10万余亩荒山成为农民的致富山；吉林大学“丰粮满仓”项目团队，通过自主研发技术改良盐碱地，帮助吉林白城市通榆县粮食增收；厦门大学“数字乡建”团队，深入福建、江西、广西、广东4个省份的62个村，探寻、挖掘、记录红色文化，形成数字博物馆62处，打造红色文化遗产信息链……截至2022年8月，累计有98万个大学生创新创业项目，对接农户近255万户、企业6.1万余家，签订合作协议7万余项。大赛激发学子们在实践中学真知、在创新中悟真谛、在创业中长本领。学子们积极投身乡村振兴、努力服务社会，将知行合一、奋发有为的青春之歌唱响广袤的祖国大地。大赛还涌现出许多永攀科技高峰、符合国家重大战略需求的项目。天津大学研发的全球首款体内可视化小口径人工血管、北京理工大学研制的我国首套卫星通信阵列参数矩阵并行测量仪、南昌大学打造的硅基无荧光粉发光芯片……一系列创新成果突破“卡脖子”难题，在重点领域、关键环节掌握核心技术，为加快实现高水平科技自立自强“添砖加瓦”。大赛还成为教育端与产业端深度融合的重要纽带，推动高校科研成果落地，促进大学生更高质量创业就业，为加快实施创新驱动发展战略奠定基础。从第三届大赛首次设立国际赛道，到第六届大赛首次以国际命名，再到本届大赛吸引了国外1340所学校、7944个项目、25260人报名参赛，中国国际“互联网+”大学生创新创业大赛的国际化程度和影响力也在不断提升，促进着不同国家、文化、肤色的大学生沟通交流合作。牛津大学、剑桥大学、哈佛大学等世界百强大学的学子踊跃参赛，印证大赛已成为激励创新创业的国际品牌。青春意味着无限可能，青年拥有创新创业伟力。对中国青年而言，勇于开拓进取，以聪明才智贡献祖国，以锐意创造服务社会，必将使自己的青春梦融入伟大的中国梦。中国国际“互联网+”大学生创新创业大赛更会为有理想、有本领的全球青年展示非凡才华提供舞台，谱写世界青年团结合作新篇章，为全球发展进步贡献中国智慧和中国方案。
精准聚焦，发挥政治巡视利剑作用,2023年04月11日13:54,30家中管企业，5家金融单位，国家体育总局……截至4月8日，二十届中央第一轮巡视的15个巡视组完成巡视进驻工作。有序推进中央巡视，加强巡视整改和成果运用，将有助于进一步完善巡视巡察上下联动工作格局，有力发挥政治巡视利剑作用。巡视监督是党和国家监督体系的重要组成部分，是全面从严治党的战略性制度安排。深入学习贯彻党的二十大和二十届一中、二中全会精神，落实二十届中央纪委二次全会和全国巡视工作会议部署，中央巡视组更加强化震慑作用，更加突出标本兼治，紧盯权力和责任，紧盯“一把手”和领导班子，紧盯群众反映强烈的突出问题，紧盯巡视整改和成果运用，必将督促推动党中央重大决策部署贯彻落实。观察新一轮巡视，从巡视方式看，对中管企业开展常规巡视，对金融单位开展巡视“回头看”，对国家体育总局开展机动巡视；从巡视时间看，常规巡视和“回头看”工作时间2个半月左右，机动巡视为1个半月左右。常规巡视、巡视“回头看”和机动巡视，是三种各有侧重的巡视方式，针对不同单位、不同领域、不同情况采取不同巡视方式，在一定程度上说明巡视工作更加注重实效，也更加具有精准性。在一轮中央巡视同时安排常规巡视、机动巡视和“回头看”三种组织方式，这在党的十八大以来还是首次，有利于增强巡视震慑力和穿透力，彰显了新一届中央巡视守正创新的实践精神。以问题为导向的巡视，才能做到有的放矢。对中管企业，将聚焦党组坚持党对国有企业全面领导、履行全面从严治党主体责任等情况，深入发现履职担当中的政治偏差，着力查找影响制约高质量发展的主要矛盾、突出问题。对金融单位，将重点了解落实上一轮巡视整改要求的实际行动和成效，督促金融单位把巡视整改与学习贯彻党中央关于金融改革的部署要求结合起来，推动解决金融领域存在的突出问题。对国家体育总局，将聚焦履行党的领导职能责任、贯彻落实体育强国建设重大决策部署情况，深入查找、推动解决体育领域腐败问题和深层次体制机制问题。更加明确巡视定位、突出问题导向，坚持聚焦聚焦再聚焦，巡视利剑才能既发现问题、形成震慑，又推动改革、促进发展。“巡视发现问题的目的是解决问题，发现问题不解决，比不巡视的效果还坏”。这次被巡视党组织主要负责同志表示，将切实增强接受巡视监督的思想自觉、政治自觉和行动自觉，以中央巡视为契机，充分用好巡视成果，强化整改落实和成果运用，切实发挥巡视标本兼治作用，促进各项工作高质量发展。实际上，巡视监督的作用能否充分发挥，关键在成果运用。这就必须压实责任，做好巡视的“后半篇文章”。反馈问题要一针见血、明确具体，对巡视移交的问题线索要及时处置，对反馈的问题要制定整改方案……只有善用成果、整改落实，做到件件有着落，才能促进规范决策、完善政策、堵塞漏洞、健全制度，增强以巡促改、以巡促建、以巡促治。巡视是国之利器、党之利器，要把巡视利剑磨得更光更亮，勇于亮剑，始终做到利剑高悬、震慑常在，为巡视工作深化发展提供根本遵循。扎实做好二十届中央第一轮巡视工作，进一步发挥巡视综合监督平台作用、深化巡视监督与其他监督贯通协调的具体举措，推动专业力量深度参与巡视，形成监督合力、提高监督效能，就一定能确保新一届中央巡视开好局起好步，不断取得全面从严治党、党风廉政建设和反腐败斗争新成效。
对暴力既要“零容忍”，也要“擦亮眼”,2023年04月10日18:14,法网恢恢，严惩不贷。4月9日晚，湖南邵阳公安局对“男子当街踹倒女子”发布警情通报，详细披露打架事件发生始末，犯罪嫌疑人目前已被刑事拘留，案件正在进一步办理中。任何一起暴力事件，都理应受到正视，都必须予以谴责。根据警情通报，施暴者大庭广众之下做出“踹倒”“揪扯”“谩骂”“殴打”等行为，触犯法律红线、触碰道德底线，不仅给受害者的身心造成伤害，而且给社会的稳定形成冲击。光天化日，朗朗乾坤。谁明目张胆以身试法，谁就必将受到应有的制裁，这是民心所向，更是法治社会的利剑所指。人身安全不可侵犯，法律权威不容亵渎。只有让施暴者付出沉重的代价，让受害者得到有力的救助，才能筑牢日常生活的安全根基。正因如此，我们不仅要从态度上谴责暴力，更要从制度上防止暴力、从行动上遏制暴力、从法律上惩治暴力。我们有理由相信，随着有关部门的介入，案情一定能水落石出，正义一定能进行伸张，公众一定能得到交代。面对突如其来的暴力事件，一时的共情很重要，长久的共识也不可或缺。我们既要对暴力案件“零容忍”，守护公平正义；也要对事件本身“擦亮眼”，避免盲信盲从。必须认识到，对任何一起公共事件的认识和处理，都要以事实为依据，以真相为准绳。在相关话题的讨论中，保持客观认识，涵养理性心态，才能有助于尽快查明真相，避免跑偏失焦，才能尽快还伤者公道、还社会安宁。平安是宏大的，是国之大者、民之所盼、发展之基。反过来看，平安也是具体的，在日常中、在小巷里、在街头上。用法律利剑斩断暴力之手，以理性认知涤荡暴力观念，让每一起暴力案件都能得到及时、详尽、透明、准确的跟进，社会的安全才能具体可感，我们的生活才能安然无虞。
多措并举，让毕业生就业路更加平坦,2023年04月10日16:42,“职引未来”系列招聘行动，公共就业服务进校园行动，就业见习质量提升行动……近日，人力资源和社会保障部下发通知，部署以10个行动为重点，开展2023年高校毕业生等青年就业创业推进计划，促进高校毕业生高质量充分就业。就业是民生之本，一头连着百姓冷暖、企业经营，一头连着经济运行、社会稳定。而高校毕业生作为国家宝贵的人才资源，其就业情况更关乎经济社会的长远发展。此前，面对经济增速放缓、疫情多发散发等多重因素冲击，我国果断采取有效措施稳就业、保就业，确保就业形势整体稳定。随着经济运行整体好转，2023年就业形势将持续回暖。也要看到，2023届高校毕业生将达1158万人，就业总量压力依然存在，招工难、就业难并存的结构性矛盾依然突出。让毕业生能就业、就好业，成为必须答好的民生答卷。做好高校毕业生就业工作，我们既要在战略上坚定自信，也要在战术上做足准备。必须看到，党中央高度重视就业工作，党的二十大作出一系列重要部署，为就业提供政策导向；中国经济长期向好的基本面没有变，为就业创造了良好条件；创新创业热潮涌动，新的就业增长点不断涌现，政策红利持续释放，为就业提供了有力支撑。这是高校毕业生顺利就业的底气所在。但另一方面，面对人才供需失衡、一些行业发展减速、部分毕业生就业不畅等问题，有关部门必须多措并举，纾困解难，让毕业生的就业路更加平坦。扩大增量，不断挖掘岗位资源。今年毕业生人数再创新高，提供更多就业岗位，必须激发社会各方力量。在人社部部署的相关行动中，中小微企业吸纳毕业生就业政策落实行动聚焦中小微企业落实就业政策，公共部门稳岗扩岗行动积极稳定机关事业单位、国有企业等招录规模。这也说明，在发挥政策性岗位吸纳作用的同时，更大力度开拓市场化社会化就业渠道，有助于创造更多就业机会，拓宽就业渠道，提高经济发展的就业吸纳能力。优化存量，更好提供就业服务。现实中，一些毕业生存在对岗位需求不了解、求职技巧不成熟、自我认知不清晰等问题，市场上存在“黑中介”、虚假招聘、滥用试用期等违法现象。因此，亟需做实做细就业服务工作，为毕业生提供有针对性的帮助。高校毕业生等青年创业服务支持行动开展创业指导、政策代办，让创业者更省心；青年专项技能提升行动开展新兴领域职业技能培训，让毕业生更优秀；就业权益护航行动开展人力资源市场秩序专项清理整顿，让就业市场更有序……做好就业服务，才能提升供需匹配效率，让毕业群体与用人单位实现双赢。控制减量，强化重点群体帮扶。脱贫家庭、低保家庭、零就业家庭、残疾等困难高校毕业生，往往面临就业难题。他们不应成为高质量就业的“局外人”“旁观者”。对困难群体加大帮扶力度，检验着就业工作的成效，更彰显着社会的温度。对未就业的开展结对帮扶，对长期失业的开展就业指导实践活动，对未就业毕业生提供岗位推荐、职业培训或就业见习服务，争取让求职路上的每一个毕业生都不掉队，都有机会在人生舞台上绽放光彩，就能让稳就业的基础更实、劲头更足。近段时间，不少地方为吸纳高校毕业生的单位提供补贴，不少企业广泛开展宣讲，有的学校“直播带人”、直接向用人单位推荐学生……各方共同发力，把促进青年特别是高校毕业生就业工作摆在更加突出的位置，挖掘就业岗位资源、做实做细就业服务、做好困难托底帮扶，定将为促进高质量充分就业注入不竭力量。
